restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,local address,city
Choo Zi,Delivery,Chinese,2.8,300.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
ChopServe,Quick Bites,Chinese,3.5,300.0,HSR,HSR,Bangalore
Chopstick Kitchen,Casual Dining,"Chinese, Momos",3.4,600.0,Marathahalli,Kaggadasapura,Bangalore
Chopstick World,Casual Dining,"Chinese, North Indian",4.0,750.0,Rajajinagar,Basaveshwara Nagar,Bangalore
Chord Road Resto-Bar,"Casual Dining, Lounge","North Indian, South Indian, Chinese",3.2,1000.0,Rajajinagar,Rajajinagar,Bangalore
Chorum Curryum,Quick Bites,"Chinese, Kerala, South Indian",2.8,250.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Chote Miya,Quick Bites,"Mughlai, Biryani, Rolls",3.6,500.0,Frazer Town,Frazer Town,Bangalore
Chow San,Casual Dining,"Chinese, Thai, Momos",3.0,500.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Chowk Tea Stall,Quick Bites,"Street Food, Tea",3.4,100.0,"Byresandra,Tavarekere,Madiwala",Koramangala 7th Block,Bangalore
Chowmein,Casual Dining,"Chinese, North Indian, Momos, Biryani",3.8,800.0,Malleshwaram,Basaveshwara Nagar,Bangalore
Chowpatty,Quick Bites,"North Indian, Fast Food, Street Food",3.6,300.0,"Byresandra,Tavarekere,Madiwala",Koramangala 1st Block,Bangalore
Chriz Cafe,"Takeaway, Delivery","South Indian, Biryani",3.5,400.0,Bellandur,Sarjapur Road,Bangalore
Chubalas Curry And Rice,Quick Bites,"Naga, Goan, Seafood, Chinese",4.0,550.0,Frazer Town,Kammanahalli,Bangalore
Chugg,Pub,"Finger Food, Continental, Asian, North Indian",3.9,1500.0,Church Street,Church Street,Bangalore
Chulha Chauki Da Dhaba,Casual Dining,North Indian,4.1,1000.0,Brookefield,Marathahalli,Bangalore
Chullah Bhatti,Casual Dining,"North Indian, Chinese",4.0,900.0,Bellandur,Marathahalli,Bangalore
Chullah Chandigarh,Casual Dining,North Indian,4.2,800.0,Bellandur,Bellandur,Bangalore
Chumma Delicious,Quick Bites,"South Indian, Fast Food",3.7,200.0,Banashankari,Banashankari,Bangalore
Chung Shan Chinese Restaurant,Quick Bites,"Chinese, Momos",3.7,500.0,Church Street,Ejipura,Bangalore
Chung Wah,Casual Dining,"Chinese, Momos",2.5,800.0,Whitefield,"ITPL Main Road, Whitefield",Bangalore
Chung Wah Express,Casual Dining,"Chinese, Thai, Momos, Vietnamese",2.8,600.0,Brigade Road,Indiranagar,Bangalore
Chung Wah Opus,Casual Dining,"Chinese, Thai",3.0,650.0,Bannerghatta Road,JP Nagar,Bangalore
Chung's Chinese Corner,Casual Dining,Chinese,2.7,700.0,Church Street,Indiranagar,Bangalore
Chungs Pavilion,Casual Dining,Chinese,3.9,650.0,Indiranagar,Indiranagar,Bangalore
Church Street Social,Lounge,"American, North Indian, Chinese, Finger Food, Momos",4.3,1500.0,Brigade Road,Church Street,Bangalore
Churchill's,"Casual Dining, Pub","North Indian, Continental",4.1,1100.0,Bannerghatta Road,JP Nagar,Bangalore
Churn,Quick Bites,"Desserts, Ice Cream",4.2,250.0,Malleshwaram,New BEL Road,Bangalore
Churrascaria Brazil,Casual Dining,European,4.1,1400.0,Kalyan Nagar,Kammanahalli,Bangalore
Chutney Chang,Casual Dining,"North Indian, Chinese, BBQ",4.1,1500.0,Banashankari,Jayanagar,Bangalore
Ciclo Cafe,"Cafe, Casual Dining","Cafe, Italian, American",4.3,1000.0,Indiranagar,Indiranagar,Bangalore
Ciclo Life,Delivery,"Salad, Beverages, Juices",2.8,400.0,Old Airport Road,Indiranagar,Bangalore
Cilantro,"Casual Dining, Bar","European, American, Continental, North Indian, Steak",4.0,1500.0,"Byresandra,Tavarekere,Madiwala",Koramangala 4th Block,Bangalore
Cinnamon,Casual Dining,"North Indian, Asian, Continental",3.7,1000.0,Lavelle Road,Seshadripuram,Bangalore
Cinnamon - Grills and Gourmet,Quick Bites,"Chinese, South Indian",3.6,400.0,New BEL Road,New BEL Road,Bangalore
"Cinnamon - Renaissance Hotel, Bengaluru",Dessert Parlor,Desserts,4.3,500.0,Malleshwaram,Race Course Road,Bangalore
Cinnamon's Kitchen,Quick Bites,"North Indian, South Indian, Fast Food",3.7,300.0,Indiranagar,Old Airport Road,Bangalore
Cirkus,"Bar, Casual Dining","North Indian, Continental, Fast Food, Beverages, Pizza",4.3,1400.0,HSR,HSR,Bangalore
Cita Pani,Quick Bites,"Biryani, North Indian, Arabian",3.8,350.0,Old Airport Road,Indiranagar,Bangalore
Citrus - The Leela Palace,Fine Dining,"North Indian, Italian, Asian, Continental, Mediterranean",4.2,3500.0,Indiranagar,Old Airport Road,Bangalore
Citrus Cafe - Lemon Tree Hotel,Casual Dining,"North Indian, Continental, South Indian, Asian",3.8,1900.0,Brookefield,Whitefield,Bangalore
Citrus Cafe - Lemon Tree Premier,Casual Dining,"North Indian, Continental, South Indian",3.9,2200.0,Brigade Road,Ulsoor,Bangalore
City Cafe,"Beverage Shop, Quick Bites","Beverages, Juices, Fast Food, Rolls",3.3,200.0,Jayanagar,JP Nagar,Bangalore
City Durbar,Casual Dining,"North Indian, Chinese, Biryani",3.7,450.0,Basavanagudi,Jayanagar,Bangalore
CK's Bakery,Bakery,"Bakery, Fast Food",2.8,200.0,Indiranagar,City Market,Bangalore
Classic Biryani Hut,Quick Bites,"Biryani, Fast Food",3.4,300.0,"Byresandra,Tavarekere,Madiwala",HSR,Bangalore
Classic Lassi Shop,Beverage Shop,"Beverages, Ice Cream",3.4,150.0,Lavelle Road,Ulsoor,Bangalore
Classic Shop,Beverage Shop,"Juices, Beverages",3.3,150.0,Brigade Road,Ulsoor,Bangalore
Clean Bowled,"Takeaway, Delivery","Healthy Food, Salad",3.3,300.0,Koramangala 6th Block,Indiranagar,Bangalore
Clean Eats,"Takeaway, Delivery",Healthy Food,2.8,300.0,Electronic City,Electronic City,Bangalore
Clean Slate Cafe,Cafe,"Cafe, Continental, Italian",4.1,600.0,Malleshwaram,Malleshwaram,Bangalore
Cloud Foods,Casual Dining,"BBQ, Biryani, Charcoal Chicken, Chinese, North Indian, Kerala, Seafood, Street Food",2.8,600.0,Brigade Road,HSR,Bangalore
CloudNYN - Sterling Mac Hotel,Bar,Finger Food,4.0,1000.0,Old Airport Road,Old Airport Road,Bangalore
Clove Rooftop,Casual Dining,"Konkan, Seafood",3.8,1000.0,Jayanagar,Jayanagar,Bangalore
Cluxi,Quick Bites,Fast Food,3.6,300.0,Kalyan Nagar,Kammanahalli,Bangalore
Coal Grill & Cafe,Quick Bites,Arabian,3.3,300.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Coast,Casual Dining,"Seafood, Mangalorean, North Indian, Biryani",3.2,750.0,Old Airport Road,Jeevan Bhima Nagar,Bangalore
Coastal Biryani Paradise,Casual Dining,"North Indian, Chinese, Biryani",3.9,500.0,Malleshwaram,RT Nagar,Bangalore
Coastal Creek,Casual Dining,"North Indian, Continental, South Indian",3.3,600.0,Church Street,Vasanth Nagar,Bangalore
Coastal Curry,Quick Bites,"North Indian, Andhra, Chinese, Seafood",3.5,350.0,Rajajinagar,Vijay Nagar,Bangalore
Coastal Delight,Casual Dining,"Seafood, South Indian, North Indian, Mangalorean, Chinese",4.1,650.0,Brigade Road,Indiranagar,Bangalore
Coastal Express,Quick Bites,South Indian,3.4,300.0,Malleshwaram,Malleshwaram,Bangalore
Coastal Fish Land,Casual Dining,Mangalorean,2.8,500.0,Bellandur,Bellandur,Bangalore
Coastal Hub,Casual Dining,"Kerala, Seafood, Chinese",4.0,700.0,Brookefield,Whitefield,Bangalore
Coastal Inn,Casual Dining,"Chinese, North Indian, Seafood",3.4,800.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Coastal Mama,Casual Dining,"Konkan, Mangalorean, North Indian, Seafood",4.1,700.0,Bannerghatta Road,JP Nagar,Bangalore
Coastal Paradise Family Restaurant,Quick Bites,"North Indian, Chinese, Seafood",2.8,450.0,Koramangala 7th Block,Wilson Garden,Bangalore
Coastal Spice,Casual Dining,"Seafood, North Indian, Chinese, Continental, Mangalorean",3.7,900.0,Malleshwaram,Rajajinagar,Bangalore
Cobaja,Casual Dining,"Seafood, South Indian, Bar Food, Mangalorean, Konkan",4.2,700.0,Residency Road,Brigade Road,Bangalore
Cochin Connection,Food Court,"Kerala, South Indian",3.6,500.0,"Byresandra,Tavarekere,Madiwala",Koramangala 6th Block,Bangalore
Coco Barista,Cafe,"Cafe, Beverages",2.8,400.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Coco Grove Beer Cafe,Casual Dining,Continental,3.8,800.0,Brigade Road,Church Street,Bangalore
Cocoa Bakes,Bakery,"Bakery, Desserts",3.6,350.0,Banashankari,Banashankari,Bangalore
Cocoa 'n' CrÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¨me,Bakery,"Bakery, Desserts",3.5,250.0,Bannerghatta Road,JP Nagar,Bangalore
CocoFresh,Food Court,Beverages,3.3,300.0,Brookefield,Brookefield,Bangalore
Coconadu,"Food Court, Quick Bites","Kerala, Konkan",3.6,400.0,Koramangala 4th Block,Koramangala 7th Block,Bangalore
Coconut Grove,"Casual Dining, Bar","South Indian, Chettinad, Kerala, Seafood",3.3,1100.0,Jayanagar,JP Nagar,Bangalore
Coffee Bike,Kiosk,"Fast Food, Beverages",3.7,250.0,Bellandur,Bellandur,Bangalore
Coffee Bytes,Quick Bites,"Fast Food, South Indian",3.1,100.0,Banashankari,Banashankari,Bangalore
Coffee House,Quick Bites,South Indian,3.3,150.0,Lavelle Road,Majestic,Bangalore
Coffee Mechanics,Cafe,"Cafe, Bakery, French, Jewish, Sandwich, Vegan, Coffee",4.3,700.0,Kalyan Nagar,HBR Layout,Bangalore
Coffee Mug Cafe,Cafe,"Cafe, Chinese, North Indian, Fast Food",3.7,400.0,Marathahalli,Marathahalli,Bangalore
Coffee Tea & More,Quick Bites,"Beverages, Sandwich",4.0,150.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
Coffee Thindi,Quick Bites,South Indian,3.5,150.0,Kalyan Nagar,Banaswadi,Bangalore
Coffee Tindi,"Cafe, Quick Bites","Cafe, South Indian",3.8,200.0,Banashankari,Banashankari,Bangalore
Coffee@Arens,Cafe,"Cafe, Fast Food",3.8,550.0,Kalyan Nagar,Banaswadi,Bangalore
Cold Fusion,Dessert Parlor,"Ice Cream, Beverages, Desserts",2.8,300.0,Brookefield,Whitefield,Bangalore
Cold Smith Ice Creams,Dessert Parlor,"Ice Cream, Desserts",3.9,450.0,Bellandur,Sarjapur Road,Bangalore
Cold Station,Quick Bites,"Fast Food, Desserts",3.8,250.0,Malleshwaram,Rajajinagar,Bangalore
Cold Stone Creamery,Dessert Parlor,"Ice Cream, Desserts",3.9,400.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Combo Biriyani,Delivery,Biryani,2.9,400.0,Brookefield,Whitefield,Bangalore
Combo Box,"Takeaway, Delivery","North Indian, Biryani, Chinese",3.0,500.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Combo King Paramount,Food Court,"Chinese, Kerala",3.1,500.0,"Byresandra,Tavarekere,Madiwala",Jayanagar,Bangalore
Combo Studio,Casual Dining,"North Indian, Biryani, Chinese",3.1,500.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Communiti,"Microbrewery, Casual Dining","Continental, BBQ, Salad",4.6,1500.0,Lavelle Road,Residency Road,Bangalore
Container Coffee,Quick Bites,South Indian,3.3,200.0,Lavelle Road,Ulsoor,Bangalore
Cookie Man,Bakery,Bakery,3.2,150.0,Brookefield,Whitefield,Bangalore
Cooking Mom,Casual Dining,"North Indian, Andhra",2.9,800.0,Bellandur,Bellandur,Bangalore
Cool Break,Dessert Parlor,"Desserts, Fast Food",3.4,150.0,Electronic City,Electronic City,Bangalore
Cool Corner,Quick Bites,"Street Food, Fast Food",4.2,250.0,Banashankari,Basavanagudi,Bangalore
Cool Corner Arun Ice Cream,Dessert Parlor,"Desserts, Ice Cream",3.5,200.0,Church Street,Frazer Town,Bangalore
Cool Joint,Beverage Shop,"Beverages, Desserts",4.2,250.0,Basavanagudi,Jayanagar,Bangalore
Cool Lassi Burger,"Beverage Shop, Quick Bites","Beverages, Fast Food, Burger",3.1,200.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
Cool Point,Quick Bites,"Juices, Fast Food",3.2,100.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
Coorg Diaries,Quick Bites,South Indian,3.5,400.0,Marathahalli,Kaggadasapura,Bangalore
Coorg Lunch Home,Quick Bites,South Indian,3.6,300.0,Kalyan Nagar,Kammanahalli,Bangalore
Copacabana Pub,"Pub, Casual Dining","Mexican, North Indian, Continental",2.8,1500.0,Brigade Road,Ulsoor,Bangalore
Copper Chimney,Casual Dining,"North Indian, Biryani",4.1,1200.0,Whitefield,Whitefield,Bangalore
Corner House Ice Cream,Dessert Parlor,"Ice Cream, Desserts",4.1,400.0,Frazer Town,Frazer Town,Bangalore
Corner Huts,Quick Bites,"North Indian, Chinese, Biryani, South Indian",3.8,300.0,Bellandur,Bellandur,Bangalore
Corner Stone,"Beverage Shop, Quick Bites","Beverages, Juices, Desserts, Italian",3.6,300.0,Banashankari,Banashankari,Bangalore
Corprate Biriyani Adda,Casual Dining,"North Indian, Chinese",3.0,500.0,Brookefield,Whitefield,Bangalore
Costa Biryanis,Delivery,"Andhra, Biryani, North Indian, South Indian",3.3,300.0,Bellandur,East Bangalore,Bangalore
Costa Coffee,Cafe,Cafe,3.0,500.0,Sarjapur Road,Bellandur,Bangalore
Costal Kadai,Quick Bites,South Indian,2.8,300.0,Jayanagar,JP Nagar,Bangalore
Cottage Loaf,"Bakery, Quick Bites","Bakery, Fast Food",4.0,250.0,Kalyan Nagar,Hennur,Bangalore
Countryside - The Taste of Chettinad,Casual Dining,"Seafood, Biryani, South Indian, Chettinad",3.9,900.0,Kalyan Nagar,Kalyan Nagar,Bangalore
Covai Cafe,Quick Bites,South Indian,3.6,200.0,Brookefield,Whitefield,Bangalore
Crack That,"Food Court, Quick Bites",Continental,3.3,500.0,Bellandur,Bellandur,Bangalore
Crafted Plate,"Casual Dining, Cafe","Cafe, Asian, Burger, Continental, Italian, Salad",4.2,600.0,Bannerghatta Road,JP Nagar,Bangalore
Cranganore House,"Takeaway, Delivery",Seafood,3.4,400.0,Sarjapur Road,Sarjapur Road,Bangalore
Crave Bit Cafe,Cafe,Cafe,2.8,600.0,Bannerghatta Road,JP Nagar,Bangalore
Crave Bite,Quick Bites,"Chinese, Italian, Fast Food, Momos",3.6,400.0,"Byresandra,Tavarekere,Madiwala",Jayanagar,Bangalore
CraveBelly Veg & Non veg,Quick Bites,"Fast Food, South Indian",2.8,150.0,Indiranagar,Old Airport Road,Bangalore
Cravings,Quick Bites,"North Indian, Chinese, Rolls",3.7,400.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Cravingz,"Beverage Shop, Quick Bites","Fast Food, Beverages",3.7,400.0,Whitefield,Whitefield,Bangalore
Cravisthan,Quick Bites,"South Indian, North Indian",2.8,500.0,Brigade Road,Domlur,Bangalore
Cravy Wings,Quick Bites,"American, Burger, Fast Food",4.2,400.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Crawl Street,Bar,"Continental, Finger Food, North Indian, Chinese",4.2,1200.0,Koramangala 7th Block,Koramangala 5th Block,Bangalore
Crazy Crush - Juices & Desserts Cafe,Beverage Shop,"Beverages, Ice Cream, Fast Food",3.4,300.0,Brookefield,Whitefield,Bangalore
Crazy Pizza,"Food Court, Quick Bites","Pizza, Fast Food",3.4,400.0,Rajajinagar,Malleshwaram,Bangalore
Cream & Fudge,Dessert Parlor,"Ice Cream, Desserts",3.1,250.0,Kalyan Nagar,Nagawara,Bangalore
Cream and Bakes,Dessert Parlor,Desserts,3.3,100.0,Rajajinagar,Basaveshwara Nagar,Bangalore
Cream and Fudge,Dessert Parlor,"Ice Cream, Desserts",3.1,250.0,Brookefield,Brookefield,Bangalore
Cream Chemistry,Dessert Parlor,"Ice Cream, Desserts",3.9,500.0,HSR,HSR,Bangalore
Cream Factory,Dessert Parlor,Desserts,3.4,400.0,Malleshwaram,Malleshwaram,Bangalore
Cream House,Dessert Parlor,Desserts,3.0,300.0,Malleshwaram,Rajajinagar,Bangalore
Cream N Desserts,"Dessert Parlor, Beverage Shop","Desserts, Beverages",3.7,400.0,"Byresandra,Tavarekere,Madiwala",Koramangala 7th Block,Bangalore
Cream Stone,Dessert Parlor,"Desserts, Beverages",4.0,500.0,Brigade Road,Frazer Town,Bangalore
Creamvilla,"Cafe, Dessert Parlor","Cafe, Desserts, Ice Cream",3.9,600.0,Sarjapur Road,Sarjapur Road,Bangalore
Creamy Zone,Dessert Parlor,"Ice Cream, Juices",3.2,100.0,Brookefield,Brookefield,Bangalore
Creamyum,Delivery,"Bakery, Desserts",4.0,300.0,Kalyan Nagar,HBR Layout,Bangalore
Create Cafe,Quick Bites,Italian,3.4,300.0,Malleshwaram,Rajajinagar,Bangalore
Creme & Cheese,"Takeaway, Delivery",Desserts,3.8,850.0,Koramangala 4th Block,Koramangala 4th Block,Bangalore
Creme Bliss,Bakery,"Bakery, Desserts",3.9,350.0,Kalyan Nagar,HBR Layout,Bangalore
Crepe Nation,Food Truck,"Fast Food, Desserts",3.8,300.0,Bannerghatta Road,South Bangalore,Bangalore
Crescent Avenue - Hotel Bangalore International,Casual Dining,"North Indian, Continental, Chinese, Asian, Thai",3.6,1400.0,Brigade Road,Race Course Road,Bangalore
Crisp Cafe,"Cafe, Casual Dining","Salad, Cafe, Continental, Steak, Italian, Burger, Desserts, Pizza",4.0,1100.0,Indiranagar,Indiranagar,Bangalore
Crispy Crust Pizza,Delivery,Pizza,3.1,450.0,Indiranagar,Indiranagar,Bangalore
Crispy Fried Chicken,Quick Bites,"Burger, Fast Food",3.3,150.0,Indiranagar,Old Airport Road,Bangalore
Croons,Dessert Parlor,Desserts,3.8,350.0,Brigade Road,Brigade Road,Bangalore
Cross Road Cafe,Cafe,"Cafe, Fast Food, Chinese",3.9,300.0,Banashankari,Jayanagar,Bangalore
Cross Roads Cafe,Cafe,"Cafe, Italian, Tex-Mex, Fast Food, Burger",3.0,500.0,Old Airport Road,Indiranagar,Bangalore
Cross Roads Inn,Casual Dining,"North Indian, South Indian, Beverages",2.8,800.0,Marathahalli,Marathahalli,Bangalore
Crown Gold,Quick Bites,"South Indian, Chinese, Seafood",3.9,400.0,Koramangala 4th Block,Koramangala 4th Block,Bangalore
Crown Resto,Casual Dining,"Fast Food, Chinese, North Indian, Biryani",2.8,450.0,Koramangala 4th Block,BTM,Bangalore
Crumb Together,"Casual Dining, Bar","Continental, Finger Food, North Indian, Chinese",4.1,1200.0,Bannerghatta Road,JP Nagar,Bangalore
Crumbz Crunches,Quick Bites,"North Indian, Chinese",3.1,450.0,Electronic City,Electronic City,Bangalore
Crunch and Munch,Quick Bites,"Chinese, Street Food, Ice Cream",3.7,300.0,Banashankari,Uttarahalli,Bangalore
Crunch Pizzas,Delivery,"Italian, Pizza",2.6,600.0,"Byresandra,Tavarekere,Madiwala",HSR,Bangalore
Crunch Pizzas - Express Delivery,Delivery,Pizza,3.0,500.0,Indiranagar,Indiranagar,Bangalore
Crunchees Cafeteria,Quick Bites,Fast Food,3.4,400.0,Kalyan Nagar,Kalyan Nagar,Bangalore
Crunchie Corner,Quick Bites,"Fast Food, Continental, Desserts",4.0,450.0,Brookefield,Brookefield,Bangalore
Crunchy Nights,Delivery,"North Indian, Chinese, Continental",3.6,350.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
CTR,Quick Bites,South Indian,4.7,150.0,Malleshwaram,Malleshwaram,Bangalore
Cubbon Pavilion - ITC Gardenia,Fine Dining,"European, Continental, Chinese, Thai",4.3,2500.0,Brigade Road,Richmond Road,Bangalore
Cubbonpete Donne Biryani,Quick Bites,"South Indian, Biryani",3.9,300.0,New BEL Road,Sahakara Nagar,Bangalore
Cucumber Town,Delivery,"Kerala, North Indian",4.2,600.0,Bannerghatta Road,BTM,Bangalore
Cultch Resto Cafe,Cafe,Cafe,3.7,600.0,Brookefield,Marathahalli,Bangalore
Cup Chronicles Cafe,Cafe,"Cafe, Continental, Tea, Beverages, Desserts",3.9,450.0,Indiranagar,Indiranagar,Bangalore
Cup Shup,Cafe,"Cafe, Continental, Fast Food",2.8,500.0,Old Airport Road,Indiranagar,Bangalore
Cupcake Bliss,Bakery,Bakery,3.2,250.0,Brookefield,Brookefield,Bangalore
Cupcake Couture,Delivery,Desserts,3.8,300.0,Whitefield,Whitefield,Bangalore
Cupcake Noggins,Dessert Parlor,"Desserts, Bakery",3.9,300.0,Bellandur,Sarjapur Road,Bangalore
Cupp,Cafe,"Cafe, Fast Food",2.8,550.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Cuppa,Cafe,"Cafe, Fast Food, Continental",3.0,700.0,Electronic City,Electronic City,Bangalore
Cuppa Joy,Cafe,"Cafe, Continental",2.8,500.0,Kalyan Nagar,Kalyan Nagar,Bangalore
Curries & Chillies,Quick Bites,"Biryani, Andhra",3.0,300.0,Kammanahalli,Banaswadi,Bangalore
Curries & Pickles,Quick Bites,"Andhra, Biryani, Chinese",3.4,400.0,Electronic City,Electronic City,Bangalore
Curries And Pickles,Quick Bites,"Andhra, North Indian, Biryani",2.8,400.0,Whitefield,Whitefield,Bangalore
Curries 'N' Phulkas,Quick Bites,North Indian,3.4,250.0,Electronic City,Electronic City,Bangalore
Curries'N' Fries,Quick Bites,Andhra,3.7,400.0,HSR,HSR,Bangalore
Curry Chutney,Quick Bites,"North Indian, South Indian, Chinese",3.0,400.0,Marathahalli,Marathahalli,Bangalore
Curry Flavours,Casual Dining,"Tamil, South Indian, North Indian, Chinese",2.8,200.0,Bellandur,Bellandur,Bangalore
Curry Leaves,Casual Dining,"Andhra, North Indian, Chinese",3.8,600.0,"Byresandra,Tavarekere,Madiwala",Jayanagar,Bangalore
Curry Point,Quick Bites,North Indian,3.2,300.0,Whitefield,Whitefield,Bangalore
Curry Pot,Casual Dining,"North Indian, Chinese, Continental, Italian",3.4,650.0,Lavelle Road,Majestic,Bangalore
Curry with a 'K' - St. Mark's Hotel,Casual Dining,"North Indian, Mughlai, Hyderabadi",3.9,1400.0,Brigade Road,St. Marks Road,Bangalore
Currylicious,Food Court,"South Indian, Mangalorean, Kerala",3.1,800.0,Malleshwaram,Malleshwaram,Bangalore
CutePorkie,Quick Bites,Continental,3.3,400.0,Kalyan Nagar,Kammanahalli,Bangalore
Cutlet Shop,Quick Bites,"Fast Food, Desserts",3.2,200.0,HSR,HSR,Bangalore
D Fusion,Quick Bites,"Fast Food, Chinese",3.5,400.0,"Byresandra,Tavarekere,Madiwala",Bommanahalli,Bangalore
D View Cafe,"Cafe, Quick Bites","Cafe, Italian, Chinese, Beverages",4.0,1000.0,Bannerghatta Road,JP Nagar,Bangalore
D2V Cafe,Cafe,Cafe,3.6,700.0,Bannerghatta Road,Bannerghatta Road,Bangalore
D'7 Feast Resto Cafe,Casual Dining,"Burger, Pizza, Continental",4.1,600.0,New BEL Road,New BEL Road,Bangalore
Daafoodies,Quick Bites,Kerala,3.2,400.0,Electronic City,Electronic City,Bangalore
Daal Roti,Quick Bites,"North Indian, Chinese",2.9,250.0,Banashankari,Kumaraswamy Layout,Bangalore
Daawat Restaurant Bar & Pub,"Bar, Casual Dining","Finger Food, North Indian, Seafood, Mangalorean, Chinese",3.5,700.0,"Byresandra,Tavarekere,Madiwala",Koramangala 7th Block,Bangalore
Daba Delights,Delivery,"North Indian, Mughlai",3.3,400.0,"Byresandra,Tavarekere,Madiwala",Koramangala 4th Block,Bangalore
Dabba Gosht,"Takeaway, Delivery","Arabian, Middle Eastern",2.8,400.0,Electronic City,Electronic City,Bangalore
Dabba Karkhana,"Takeaway, Delivery",North Indian,3.5,300.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Dadaba's,Quick Bites,Fast Food,3.3,300.0,"Byresandra,Tavarekere,Madiwala",Jayanagar,Bangalore
Dadi's Dum Biryani,Casual Dining,"Biryani, North Indian, Mughlai",4.0,800.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Dad's Cookhouse,Quick Bites,"North Indian, Street Food, Chinese, Fast Food",4.0,300.0,Bellandur,Sarjapur Road,Bangalore
Daily Bite,Quick Bites,"Desserts, Fast Food",3.5,250.0,Lavelle Road,Richmond Road,Bangalore
Daily Sushi,Casual Dining,"Korean, Sushi",3.8,900.0,Brookefield,Whitefield,Bangalore
Daivik,Casual Dining,"North Indian, South Indian, Chinese",3.3,650.0,Lavelle Road,Race Course Road,Bangalore
Dakshin,Casual Dining,South Indian,3.5,450.0,Lavelle Road,Wilson Garden,Bangalore
Dakshin - ITC Windsor,Fine Dining,South Indian,4.3,4000.0,Malleshwaram,Sankey Road,Bangalore
Dakshin Biryani & Tiffin,Casual Dining,"Andhra, South Indian, North Indian",3.4,550.0,Brigade Road,Indiranagar,Bangalore
Dakshin Cafe,Quick Bites,South Indian,3.7,100.0,Banashankari,Kumaraswamy Layout,Bangalore
Dakshin Flavors,Casual Dining,"South Indian, North Indian",3.0,600.0,HSR,HSR,Bangalore
Dakshin Food Palace,Casual Dining,"South Indian, North Indian, Chinese",3.7,450.0,Bannerghatta Road,JP Nagar,Bangalore
Dakshin Grand,Quick Bites,"South Indian, North Indian, Chinese, Street Food",3.0,300.0,Banashankari,Banashankari,Bangalore
Dakshin Kitchen,Quick Bites,South Indian,3.6,100.0,Banashankari,Basavanagudi,Bangalore
Dakshin Restaurant,Casual Dining,"Mangalorean, Seafood, North Indian, Chinese",3.6,800.0,Brigade Road,Brigade Road,Bangalore
Dakshin Sagar,Quick Bites,"South Indian, North Indian, Chinese, Street Food",3.1,400.0,HSR,HSR,Bangalore
Dakshin Spice,Casual Dining,"South Indian, North Indian, Chinese, Biryani",3.8,800.0,Brookefield,Marathahalli,Bangalore
Dal Roti,Quick Bites,North Indian,3.7,150.0,Bannerghatta Road,JP Nagar,Bangalore
Dal Roti Sabji,Quick Bites,North Indian,4.1,150.0,Indiranagar,Indiranagar,Bangalore
Dal Tadkaa,Casual Dining,North Indian,2.5,500.0,Banashankari,Banashankari,Bangalore
Dalchini,Casual Dining,North Indian,4.0,700.0,Bellandur,Bellandur,Bangalore
Dalma,Casual Dining,Oriya,3.9,600.0,"Byresandra,Tavarekere,Madiwala",Koramangala 6th Block,Bangalore
Dambal's Veg,Quick Bites,South Indian,3.2,250.0,Malleshwaram,Yeshwantpur,Bangalore
Damodar Seth,Casual Dining,"Bengali, Chinese, North Indian",3.1,600.0,Brookefield,Marathahalli,Bangalore
Danapani,Casual Dining,"North Indian, South Indian, Chinese",3.8,400.0,Bannerghatta Road,JP Nagar,Bangalore
Dande Hyderabad Biryani,Quick Bites,"Biryani, Andhra, North Indian",2.8,500.0,Electronic City,Electronic City,Bangalore
Dande's Hyderabad Biryani,Casual Dining,"Biryani, North Indian, Chinese",3.0,550.0,HSR,Bommanahalli,Bangalore
Daniyal's,Casual Dining,"North Indian, Biryani, Mughlai, Kebab",3.5,800.0,Brookefield,Marathahalli,Bangalore
Danny Lambas Punjabi Dhaba,Casual Dining,"North Indian, Chinese, Biryani",3.5,600.0,Brigade Road,Indiranagar,Bangalore
Darbar,Bar,"North Indian, Chinese",3.0,800.0,Banashankari,Banashankari,Bangalore
Darjeeling Momo Adda,Quick Bites,"Chinese, Tibetan, North Indian, Momos",3.1,200.0,Bannerghatta Road,Bannerghatta Road,Bangalore
